Name,URL,Price,Neighborhood
Top floor 2 bed / 2 bath + loft at Parkwoods,http://sfbay.craigslist.org/eby/apa/5598239507.html,$3300,oakland rockridge / claremont
Garden Studio with loft,http://sfbay.craigslist.org/eby/apa/5597912528.html,$1800,oakland rockridge / claremont
Spacious North Berkeley Loft - OPEN HOUSE SUN,http://sfbay.craigslist.org/eby/apa/5597896192.html,$2095,berkeley north / hills
"1BR/1Ba +Loft, Dublin BART Station",http://sfbay.craigslist.org/eby/apa/5597382388.html,$2500,dublin / pleasanton / livermore
"Alamo Condo for Lease, 2 Bedrooms, 2 Bath Plus Large Loft",http://sfbay.craigslist.org/eby/apa/5570261436.html,$3200,danville / san ramon
3B/2B + Loft Gated Condo next to Dublin Bart,http://sfbay.craigslist.org/eby/apa/5592687594.html,$2800,dublin / pleasanton / livermore
Nice Live/work Loft near West Oak.Bart & S.F.,http://sfbay.craigslist.org/eby/apa/5579348908.html,$2900,oakland west
OPEN HOUSE SATURDAY - Beautiful Brick Loft in Old Fire Dep't,http://sfbay.craigslist.org/eby/apa/5585778776.html,$3295,oakland north / temescal
2 Bedroom/Loft Style/Spa/Hot Tub/ Pool/Garage,http://sfbay.craigslist.org/eby/apa/5594676191.html,$2325,san leandro
"UPTOWN NEW YORK STYLE 1000 SQ FT LOFT - 2 BLOCKS TO BART, FOX, UPTOWN",http://sfbay.craigslist.org/eby/apa/5590691324.html,$2399,oakland downtown
1 Bedroom 1.5 Bath Furnished Waterfront Loft | All utils included,http://sfbay.craigslist.org/eby/apa/5578731566.html,$3250,oakland downtown
Room available in 2 Bedroom loft,http://sfbay.craigslist.org/eby/apa/5589506448.html,$1500,oakland north / teme
Incredible Live Work Loft By Berkeley Bowl,http://sfbay.craigslist.org/eby/apa/5589117901.html,$4295,berkeley
Amazing Sound Studio / Apartment Live-Work Combo,http://sfbay.craigslist.org/eby/apa/5583766705.html,$2100,oakland east
"Loft Apartment Home, Lot's of Natural Light, Low Pricing",http://sfbay.craigslist.org/eby/apa/5599008375.html,$3395,emeryville
2 Bedroom Loft Style Condo for Rent,http://sfbay.craigslist.org/eby/apa/5598910453.html,$2200,walnut creek
Modern Loft Style Home! High Ceilings!,http://sfbay.craigslist.org/eby/apa/5598038192.html,$3495,emeryville
Heritage Historic District ! 2 Bedroom + Loft / Bonus Room,http://sfbay.craigslist.org/eby/apa/5593392722.html,$1650,vallejo / benicia
"4 bdr/3.5 ba Approx. 2900 sf Gale Ranch, Terra Vista home",http://sfbay.craigslist.org/eby/apa/5601286390.html,$4700,danville / san ramon
Mission schools Townhouse 2200sqft - $3800,http://sfbay.craigslist.org/eby/apa/5601187693.html,$3800,fremont / union city / newark
Got Space?-Its Here! Spacious Apartment Home-$99 Deposit,http://sfbay.craigslist.org/eby/apa/5601157727.html,$3230,emeryville
Sweet Garden Studio on Urban Farm (Furnished),http://sfbay.craigslist.org/eby/apa/5590990385.html,$2000,berkeley
Look and Lease One Bedroom available with only $100 deposit!,http://sfbay.craigslist.org/eby/apa/5601001669.html,$1900,san leandro
Cute Condo In Urban luxury building,http://sfbay.craigslist.org/eby/apa/5601018028.html,$2350,emeryville
Advent- Industrial Chic Two Bedroom Plus Den at The Bond,http://sfbay.craigslist.org/eby/apa/5593258637.html,$3795,oakland downtown
WOW 1x1 Renovated w/ $199 Security Deposit Special,http://sfbay.craigslist.org/eby/apa/5600929535.html,$1905,hayward / castro valley
Cute 1 bedroom and 1 bath Condo-apt,http://sfbay.craigslist.org/eby/apa/5600900528.html,$2300,emeryville
"New Appliances, New Window Coverings, Courtesy Patrol",http://sfbay.craigslist.org/eby/apa/5600754366.html,$1850,san leandro
"Spacious 1 bedroom 1 bath with bonus room,",http://sfbay.craigslist.org/eby/apa/5591426050.html,$1325,Oakland
"Open Tonight-- Tudor Cottage Walk to UC, Cafes, Best Neighborhood",http://sfbay.craigslist.org/eby/apa/5600836084.html,$2850,berkeley north / hills
Stunning 4 bdr/3bth 2314sq ft home in Livermore $3450.00,http://sfbay.craigslist.org/eby/apa/5590513254.html,$3450,dublin / pleasanton / livermore
"ONLY STUDIO AVAILABLE! Renovated, Cat Friendly, Great Location",http://sfbay.craigslist.org/eby/apa/5600700102.html,$1855,hayward / castro valley
Home AVAILABLE now in BLACKHAWK,http://sfbay.craigslist.org/eby/apa/5591655993.html,$5750,danville / san ramon
Exquisite Highly Upgraded Home In Beautiful SW Livermore Wine Country!,http://sfbay.craigslist.org/eby/apa/5600663950.html,$5000,dublin / pleasanton / livermore
Showing Studio Townhouses with Parking,http://sfbay.craigslist.org/eby/apa/5600642704.html,$1250,berkeley north / hills
Amiable Jr. 1bd/1ba Fully Renovated!,http://sfbay.craigslist.org/eby/apa/5600550234.html,$1979,dublin / pleasanton / livermore
Top Floor Studio/1BA Condo with Views & Private Balcony,http://sfbay.craigslist.org/eby/apa/5594729173.html,$2000,emeryville
Spectacular Home in Magnolia Pl development in Livermore,http://sfbay.craigslist.org/eby/apa/5590760132.html,$3600,Livermore
2 Bed / 2 Bath Condo -- Quite Nice,http://sfbay.craigslist.org/eby/apa/5600459403.html,$2950,Oakland
Spacious Two Bedroom Available with only $100 Deposit! Gated Community,http://sfbay.craigslist.org/eby/apa/5600258194.html,$2325,san leandro
Wonderful 1x1 with a wood burning fireplace!,http://sfbay.craigslist.org/eby/apa/5600286390.html,$2095,dublin / pleasanton / livermore
"Rejuvenating Renovated 1bd/1ba parking/pool/gym/onsite laundry,",http://sfbay.craigslist.org/eby/apa/5600225569.html,$1905,hayward / castro valley
For Lease/Rent,http://sfbay.craigslist.org/eby/apa/5600178705.html,$2850,fairfield / vacav
Beautiful 2x1 is Waiting for YOU! $199 Deposit oac!,http://sfbay.craigslist.org/eby/apa/5600164321.html,$2375,dublin / pleasanton / livermore
"Rare Vacancy-- Open Today--Tudor Cottage Walk to UC, Cafes, Best Neighborhood",http://sfbay.craigslist.org/eby/apa/5600161680.html,$2850,berkeley north / hills
"Spectacular Lafayette Home is Avail.7/5,Premium Properties",http://sfbay.craigslist.org/eby/apa/5590919174.html,$6000,lafayette / orinda / moraga
2 bedrooms Separate entity Upper-level Victorian flat,http://sfbay.craigslist.org/eby/apa/5599623185.html,$3200,oakland north / temescal
2 bedrooms Separate entity Upper-level Victorian flat,http://sfbay.craigslist.org/eby/apa/5599623803.html,$3200,oakland north / temescal
"4 beds 3 baths ,Single Family House in Mountain House for Rent",http://sfbay.craigslist.org/eby/apa/5577905586.html,$2800,dublin / pleasanton / livermore
Single Family Home (4b/3b) Is Available Now,http://sfbay.craigslist.org/eby/apa/5599453723.html,$2600,dublin / pleasanton / livermore
"Rare Vacancy-- Tudor Cottage Walk to UC, Cafes, Best Neighborhood",http://sfbay.craigslist.org/eby/apa/5599423668.html,$2850,berkeley north / hills
WALK TO DVC 2BE 1BA 2 STORY CONDO FOR RENT,http://sfbay.craigslist.org/eby/apa/5595670479.html,$2200,SUNTREE LANE
BEAUTIFUL HUGE 1190 SQ. HI CEILIN CAR GARAGE NEAR DVC AVAIL JUNE!,http://sfbay.craigslist.org/eby/apa/5595667781.html,$2200,concord / pleasant hill / martinez
"Views, Private Patio or Balcony, Spa/Hot Tub",http://sfbay.craigslist.org/eby/apa/5598919826.html,$1900,san leandro
Awesome move-in special! Call us for details!,http://sfbay.craigslist.org/eby/apa/5598852457.html,$2585,dublin / pleasanton / livermore
East Dublin Single Family House with Large Office,http://sfbay.craigslist.org/eby/apa/5598838902.html,$3400,dublin / pleasanton / livermore
Geogous view house in Bridges Gale Ranch,http://sfbay.craigslist.org/eby/apa/5593565298.html,$3000,danville / san r
GORGEOUS DANVILLE HERITAGE PARK,http://sfbay.craigslist.org/eby/apa/5598774816.html,$3950,danville / san ramon
Amiable Jr. 1bd/1ba Fully Renovated!,http://sfbay.craigslist.org/eby/apa/5598744098.html,$1979,dublin / pleasanton / livermore
Top Floor Studio/1BA Condo with Views & Private Balcony,http://sfbay.craigslist.org/eby/apa/5595700221.html,$2000,emeryville
2 Bed / 2 Bath Condo -- Sexy,http://sfbay.craigslist.org/eby/apa/5598476503.html,$2950,Oakland
Tri-Level Stunning Home in Lucca Community,http://sfbay.craigslist.org/eby/apa/5597959724.html,$3900,dublin / pleasanton / livermore
"Pet-Friendly, Satellite Dish Allowed, On-Site Management",http://sfbay.craigslist.org/eby/apa/5597904034.html,$1875,san leandro
"Convenient, Quiet, Beautiful Studio!",http://sfbay.craigslist.org/eby/apa/5597771123.html,$1650,san leandro
OPEN SPACE VIEWS NEAR HEATHER FARM PARK,http://sfbay.craigslist.org/eby/apa/5577050291.html,$3550,walnut creek
Townhouse in Dublin,http://sfbay.craigslist.org/eby/apa/5597765507.html,$3250,dublin / pleasanton / livermore
"LUXURIOUS TWO BEDROOM, ONE BATHROOM, IN THE HEART OF DOWNTOWN!!!",http://sfbay.craigslist.org/eby/apa/5597735239.html,$4075,berkeley
Mountain House - Bethany Home - 5 Bed 3.5 Bath,http://sfbay.craigslist.org/eby/apa/5597725151.html,$2650,dublin / pleasanton / livermore
Top Floor Studio/1BA Condo with Views & Private Balcony,http://sfbay.craigslist.org/eby/apa/5597680765.html,$2000,emeryville
One Bedroom Available Now for immediate move in!,http://sfbay.craigslist.org/eby/apa/5562483089.html,$2850,concord / pleasant hill / mart
Oakland Jack London Modern Condo for Rent,http://sfbay.craigslist.org/eby/apa/5591859948.html,$3000,oakland downtown
Penthouse,http://sfbay.craigslist.org/eby/apa/5597378594.html,$2550,dublin / pleasanton / livermore
~ Gorgeous Mountain House Single Family Home ~,http://sfbay.craigslist.org/eby/apa/5591707493.html,$2375,dublin / pleasanton / livermore
Large Victorian Home,http://sfbay.craigslist.org/eby/apa/5581585758.html,$3600,emeryville
Large Victorian Home,http://sfbay.craigslist.org/eby/apa/5597307095.html,$3600,emeryville
"Spacious Sunny 3+ Bedroom/2 Bath in Triplex, Peralta District, Garden",http://sfbay.craigslist.org/eby/apa/5597136536.html,$3850,oakland rockridge / claremont
2 Bed / 2 Bath Condo -- Yes!,http://sfbay.craigslist.org/eby/apa/5597121138.html,$2950,Oakland
CHARMING ALAMO COTTAGE,http://sfbay.craigslist.org/eby/apa/5597036455.html,$1695,walnut creek
